,window_size,step_size,kernel_size,pool_size,optimizer,activation,learning_rate,temporal_filters,batch_normalization,n_conv_layers,n_fc_layers,n_neurons_2nd_layer,dropout_rate,val_loss,val_accuracy,date
71,100.0,0.3,3.0,3.0,sgd,relu,2.529982172938807e-05,40.0,False,1.0,0.0,0.5,0.0,0.6935390532016754,0.5137579143047333,2021-07-13_06-36-15
72,50.0,0.1,3.0,3.0,adam,elu,0.00022077753079090203,40.0,True,1.0,2.0,0.4,0.6,0.4209740549325943,0.8088376522064209,2021-07-13_01-38-40
73,50.0,0.1,3.0,3.0,adam,elu,0.00025279674209662705,40.0,True,1.0,2.0,0.75,0.6,0.3965507745742798,0.8229320824146271,2021-07-13_00-36-44
74,50.0,0.1,3.0,3.0,adam,relu,3.1574537824945054e-05,40.0,False,1.0,0.0,0.2,0.0,0.39246907234191897,0.8152749121189118,2021-07-13_08-53-53
75,50.0,0.9,3.0,2.0,adam,relu,0.00010903709638171017,40.0,False,1.0,0.0,0.25,0.6,0.6684241950511932,0.5841269195079803,2021-07-13_07-31-32
76,50.0,0.3,5.0,3.0,sgd,elu,0.004917950451817588,20.0,False,1.0,2.0,0.7,0.6,0.6741751194000244,0.5761800467967987,2021-07-12_15-57-40
77,50.0,0.3,9.0,2.0,adam,elu,0.00010299878102375198,40.0,False,0.0,2.0,0.65,0.0,0.6214511930942536,0.6622407495975494,2021-07-13_16-27-10
78,50.0,0.1,9.0,2.0,adam,elu,0.0001346636486834139,40.0,False,0.0,2.0,0.6,0.0,0.06066228114068508,0.9804726898670196,2021-07-13_17-39-40
79,50.0,0.2,9.0,3.0,sgd,elu,5.131730131215344e-05,50.0,False,1.0,1.0,0.6,0.6,0.6941661715507508,0.5055004030466079,2021-07-13_09-33-19
80,50.0,0.4,3.0,3.0,adam,elu,4.5967648564698165e-05,50.0,True,1.0,2.0,0.5,0.6,0.6600743114948273,0.6149675905704498,2021-07-13_00-01-11
81,50.0,0.6,7.0,2.0,adam,relu,0.0008554283281397025,20.0,False,1.0,2.0,0.45,0.0,0.8328503608703614,0.6179487764835357,2021-07-13_10-41-27
82,50.0,1.0,5.0,3.0,sgd,elu,3.0966794619053406e-05,40.0,False,0.0,1.0,0.45,0.0,0.6991327166557312,0.5161062240600586,2021-07-12_16-04-53
